referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
DOCYA132315BU0023,1333LB19F00000221,DOCYA132315BU0023~1333LB19F00000221,1,102528-5,MA3NZ6KSKWK3,"Goal Group, LLC",2650,1.27
DOCYA132315BU0023,1333LB21F00000289,DOCYA132315BU0023~1333LB21F00000289,1,104799-4,NUF7MJP3JJ63,"Cyber Innovations, LLC",1008,0.48
DOCYA132315BU0023,DOCWO005,DOCYA132315BU0023~DOCWO005,1,102026-1,EAQ6J2X8CZU4,"UNIVERSAL CONSULTING PARTNERS, Inc.",1464,0.7
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,1,TREX-USCB-SEI-GD-092015-005,SMNWM6HN79X5,"General Dynamics Information Technology, Inc.",37,0.01
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,2,TREX-USCB-TI-AFS-092016-001,C47BNA8GM833,ACCENTURE FEDERAL SERVICES LLC,18774.25,9.02
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,3,TREX-USCB-TI-BAH-052020-001,JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,1824,0.87
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,4,TREX-USCB-TI-CARAHSOFT-012017-001,DT8KJHZXVJH5,CARAHSOFT TECHNOLOGY CORP,3794,1.82
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,5,TREX-USCB-TI-CPMC-0220218-003,W6D7KZWKFRC4,"CPMC, LLC",18019,8.66
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,6,TREX-USCB-TI-LEIDOS-092016-006,MYKLJHTX3MM7,LEIDOS INC,155,0.07
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,7,TREX-USCB-TI-MYTHICS-102018-001,U2W4ZCG9WJA7,"Mythics, Inc.",822,0.39
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,8,TREX-USCB-TI-NWSYSTEMS-112016- 001,MJGTGCUQB773,"North West Systems, Inc ",834,0.40
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,9,TREX-USCB-TI-ROCKHAMMER-102016- 001,MQKVUGBGK6K5,Rockhammer Talent Solutions LLC ,2756,1.32
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,10,TREX-USCB-TI-SES-092016-004,DVKNB2QVA3K8,Systems Engineering Solutions Corporation,31653,15.21
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,11,TREX-USCB-TI-TAKE2-102016-001,LQJFQ5ZH9BC3,TAKE2 CONSULTING LLC,2574,1.23
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,12,TREX-USCB-TI-TRIVIR-052020-003,TB1QAJKVN376,TriVir LLC,2391,1.14
DOCYA132315BU0033,DOC003,DOCYA132315BU0033~DOC003,13,TREX-USCB-TI-VID-092016-005,N37JST95C3S5,Vidoori,5000,2.40
DOCYA132315BU0035,1333LB19F00000073,DOCYA132315BU0035~1333LB19F00000073,1,BOA-SAS-2019-001,RFLNANKKZYV5,SAS Institute Inc. ,520,0.25
DOCYA132315BU0035,1333LB19F00000073,DOCYA132315BU0035~1333LB19F00000073,2,Subk-CODS-FITS-2022,W4MBNGHDZ113,FRONTIER IT SOLUTIONS INC,1035,0.49
DOCYA132315BU0035,1333LB20F00000047,DOCYA132315BU0035~1333LB20F00000047,1,Subk-Datafugue-Tabs-2021,FQH1BPM1VWT9,"Datafugue, LLC",3131,1.5
DOCYA132315BU0035,DOC0002,DOCYA132315BU0035~DOC0002,1,BOA-AFS-2015-001,MPTBH4L4MM99,Accenture Federal Services LLC,9190.5,4.41
DOCYA132315BU0035,DOC0002,DOCYA132315BU0035~DOC0002,2,BOA-IshTec-2015-001,DLFVTSRJVCL9,ISHTEC INC,1849,0.88
DOCYA132315BU0035,DOC0002,DOCYA132315BU0035~DOC0002,3,BOA-SES-2015-001,DVKNB2QVA3K8,Systems Engineering Solutions Corporation,5066.5,2.43
DOCYA132315BU0035,DOC0003,DOCYA132315BU0035~DOC0003,1,BOA-ACP-2016-001,N7TJGJB9N7V6,"Alpine Consulting Partners, LLC",1662,0.79
DOCYA132315BU0035,DOC0003,DOCYA132315BU0035~DOC0003,2,KeyBridge MSA - Gunnison ,TADCAHZU5YT3,KEYBRIDGE LLC,406.3,0.19
DOCYA132315BU0037,1333LB18F00000333,DOCYA132315BU0037~1333LB18F00000333,1,HHG-2015-R01-S-00,MWYBWXU9ZGB9,"RED CEDAR CONSULTANCY, LLC",158,0.07
DOCYA132315BU0037,1333LB18F00000333,DOCYA132315BU0037~1333LB18F00000333,2,HHG-2018-A01-S-01,K2G1NMC48FD1,"Acquis Business Intelligence, Inc.",2755,1.32
DOCYA132315BU0037,1333LB18F00000333,DOCYA132315BU0037~1333LB18F00000333,3,HHG-2019-C02-S-01,NN6FMKJCLRQ4,Cerebra Consulting Inc,928,0.44
DOCYA132315BU0037,1333LB18F00000333,DOCYA132315BU0037~1333LB18F00000333,4,HHG-2019-F01-S-01,JGD1BHL6JRY7,"Five 9 Group, Inc. ",11293,5.42
DOCYA132315BU0037,1333LB18F00000333,DOCYA132315BU0037~1333LB18F00000333,5,HHG-2019-F02-S-01,W7KLC3LCHQ35,"Federal Working Group, Inc.",3875,1.86
DOCYA132315BU0037,1333LB18F00000333,DOCYA132315BU0037~1333LB18F00000333,6,HHG-2019-F03-S-01,W1FRBCT8ZKL8,FEDTEK SYSTEMS INC,877,0.42
DOCYA132315BU0037,1333LB18F00000333,DOCYA132315BU0037~1333LB18F00000333,7,HHG-2019-G01-S-03,DUHLPDK2XAF9,"GURU'S, INC.",3624,1.74
DOCYA132315BU0037,1333LB18F00000333,DOCYA132315BU0037~1333LB18F00000333,8,HHG-2019-S01-S-01,K57NEDKX1QW1,SYNERGETIC INFORMATION SYSTEMS INC,8392,4.03
DOCYA132315BU0037,1333LB18F00000333,DOCYA132315BU0037~1333LB18F00000333,9,HHG-2019-U01-S-01,VFLKJ5RLGYK1,UDYOGA LLC,3830,1.84
