referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
47PM0518D0007,47PM0422F0037,47PM0518D0007~47PM0422F0037,1,59134-35.1,PSYMAPZLJWH8,OLBN INC,100,0.04
47PM0518D0007,47PM0422F0037,47PM0518D0007~47PM0422F0037,2,59134-35.2,ML8TNE3HFFC8,JO IRON WORKS LLC,100,0.04
47PM0518D0007,47PM0422F0042,47PM0518D0007~47PM0422F0042,1,59134-38.2,EHW4RJLJKDK4,"BIG SHINE WORLDWIDE, INC.",100,0.04
47PM0518D0007,47PM0422F0045,47PM0518D0007~47PM0422F0045,1,59134-41.1,UX6SC4Y45ZH4,"ASHE CONSULTANTS, P.L.L.C.",100,0.04
47PM0518D0007,47PM0422F0045,47PM0518D0007~47PM0422F0045,2,59134-41.2,L2ABMK3HY1G3,"MARSHALL GROUP LTD ARCHITECTS, THE (INC)",100,0.04
47PM0518D0007,47PM0422F0045,47PM0518D0007~47PM0422F0045,3,59134-41.3,C19AH6RZWWJ5,DAFORE LLC,400,0.19
47PM0518D0007,47PM0422F0045,47PM0518D0007~47PM0422F0045,4,59134-41.5,MQ81EK6LDBC3,EXCEL MECHANICAL CONTRACTORS LLC,737,0.35
47PM0518D0007,47PM0422F0045,47PM0518D0007~47PM0422F0045,5,59134-41.7,P4GKREL2JNK1,PHOENIX MECHANICAL GROUP INC,100,0.04
47PM0518D0007,47PM0422F0045,47PM0518D0007~47PM0422F0045,6,59134-41.8,G5G3FL1CGY56,"STRICKLAND ENTERPRISES, LLC",100,0.04
47PM0518D0007,47PM0422F0046,47PM0518D0007~47PM0422F0046,1,59134-40.2,ZLZFWU137RT6,"BOATMAN & MAGNANI, INC.",64,0.03
47PM0518D0007,47PM0422F0046,47PM0518D0007~47PM0422F0046,2,59134-40.3,MQ81EK6LDBC3,EXCEL MECHANICAL CONTRACTORS LLC,100,0.04
47PM0518D0007,47PM0422F0046,47PM0518D0007~47PM0422F0046,3,59134-40.4,WGL2M1N3C6G5,WILLIAM P. GELBERG INC.,100,0.04
47PM0518D0007,47PM0422F0046,47PM0518D0007~47PM0422F0046,4,59134-40.8,ML8TNE3HFFC8,JO IRON WORKS LLC,100,0.04
47PM0518D0007,47PM0423F0006,47PM0518D0007~47PM0423F0006,1,59134-42.1,C19AH6RZWWJ5,DAFORE LLC,1170,0.56
47PM0518D0007,47PM0423F0006,47PM0518D0007~47PM0423F0006,2,5913442.11,Z3XSBM4Z16B4,NELLO WALL SYSTEMS INC,100,0.04
47PM0518D0007,47PM0423F0006,47PM0518D0007~47PM0423F0006,3,59134-42.2,PAH8NQNLYEG7,"DELTA PAINTING & WALLCOVERINGS, INC.",76,0.03
47PM0518D0007,47PM0423F0006,47PM0518D0007~47PM0423F0006,4,59134-42.3,GRT2YN39FNW4,LVSI CORPORATION,100,0.04
47PM0518D0007,47PM0423F0006,47PM0518D0007~47PM0423F0006,5,59134-42.4,P4GKREL2JNK1,PHOENIX MECHANICAL GROUP INC,136,0.06
47PM0518D0007,47PM0423F0006,47PM0518D0007~47PM0423F0006,6,59134-42.5,G5G3FL1CGY56,"STRICKLAND ENTERPRISES, LLC",100,0.04
47PM0518D0007,47PM0423F0006,47PM0518D0007~47PM0423F0006,7,59134-42.6,HPHVSDPH1K93,"CHEROENHAKA NOTTOWAY ENTERPRISES, LLC",100,0.04
47PM0518D0007,47PM0423F0006,47PM0518D0007~47PM0423F0006,8,59134-42.7,MQ81EK6LDBC3,EXCEL MECHANICAL CONTRACTORS LLC,1713,0.82
